 #,INVENTORY #,ARTWORK TITLE,ARTIST LAST NAME,ARTIST FIRST NAME,DATE ACQUIRED,ARTWORK DESCRIPTION,Insurance Value,KEEP / REMOVE
1.0,2015.COB.1,The Ambition of the Stick,Cobb,James ,2015.0,Green and purple abstract painting,1800.0,Keep 
2.0,2015.COB.2,Ingratitude in Advance,Cobb,James ,2015.0,White abstract painting,1800.0,Keep 
3.0,2015.COB.3,Nourishment,Cobb,James ,2015.0,Black abstract painting,1800.0,Keep 
4.0,2015.COB.4,Growth,Cobb,James ,2015.0,Grey abstract painting,1800.0,Keep 
5.0,2015.ESP.1.1,La Reina,Esparza,Jenelle ,2015.0,Textile,1250.13,Keep 
6.0,2015.VEG.1,Wheat,Vega Treviño,Louise,2015.0,Painting,2200.0,Keep 
7.0,2016.COB.1,Bernese Oberlander,Cobb,James ,2016.0,Works on Paper,1800.0,Keep 
8.0,2016.COB.2,Ghord Farm,Cobb,James ,2016.0,Works on Paper,1800.0,Keep 
9.0,2016.COB.3,The Plainsman,Cobb,James,2016.0,Works on Paper,1800.0,Keep 
10.0,2016.COB.4,Thought Process of the Stone,Cobb,James,2016.0,Works on Paper,1800.0,Keep 
11.0,2018.DEL.1,Black Lives Matter ,De La Cruz,Joseph,2016.0,Drawing,2000.0,Keep 
12.0,2018.DEL.3,Silence Equals Death,De La Cruz,Joseph,2016.0,Drawing,2000.0,Keep 
13.0,2018.DEL.4,Su Voto es Su Voz ,De La Cruz,Joseph,2016.0,Drawing,2000.0,Keep 
14.0,2018.MAR.1,San Antonio,Martorell,Antonio,2016.0,Works on Paper,2500.0,Keep 
15.0,2017.VAL.1,Bauwens Family in a Beet Field,Valdivia,Alison,2017.0,Works on Paper,1100.0,Keep 
16.0,2018.AND.1,Libertad,Andrade,Fernando,2017.0,Drawing,2500.0,Keep 
17.0,2018.AND.2,Hernandez v. Texas,Andrade,Fernando,2017.0,Drawing,3500.0,Keep 
18.0,2018.CHA.1,I To My Beloved and My Beloved To Me,Chavez,Lisette ,2017.0,Drawing,2450.0,Keep 
19.0,2018.DEA.1,Strata Dip,Dean,(blank),2017.0,Works on Paper,1000.0,Keep 
20.0,2018.DEA.2.1,I Venti di Giona II (III/I/X) ,Dean,(blank),2017.0,Works on Paper,1200.0,Keep 
21.0,2018.DEA.2.2,I Venti di Giona II (VI/I/X),Dean,(blank),2017.0,Works on Paper,1200.0,Keep 
22.0,2018.DEA.3,Tramonto,Dean,(blank),2017.0,Works on Paper,1500.0,Keep 
23.0,2018.DEL.6,Post Office 1890-1937,De La Cruz,Joseph,2017.0,Drawing,3000.0,Keep 
24.0,2018.ESP.3,Mezcla ,Esparza,Jenelle ,2017.0,Textile,850.0,Keep 
25.0,2018.FEL.1,Artemesia Bowden,Felix,Barbara ,2017.0,Works on Paper,1300.0,Keep 
26.0,2018.FER.1,A Chinese Grocery,Fernandez ,Ana,2017.0,Painting,2500.0,Keep 
27.0,2018.FER.2,El Teatro Nacional ,Fernandez ,Ana,2017.0,Painting,2500.0,Keep 
28.0,2018.FER.3,F.A. Chapa Drugstore,Fernandez ,Ana,2017.0,Painting,2500.0,Keep 
29.0,2018.FER.4,G. Giovanazzi Store,Fernandez ,Ana,2017.0,Painting,2500.0,Keep 
30.0,2018.FER.5,La Gloria #3,Fernandez ,Ana,2017.0,Painting,2500.0,Keep 
31.0,2018.FER.6,Miraflores & La Quinta Urrutia,Fernandez ,Ana,2017.0,Painting,2500.0,Keep 
32.0,2018.FER.7,Scotty's Ice House,Fernandez ,Ana,2017.0,Painting,2500.0,Keep 
33.0,2018.FER.8,The Casa Jose Antonio de la Garza,Fernandez ,Ana,2017.0,Painting,2500.0,Keep 
34.0,2018.FER.9,Flight,Fernandez,Ana,2017.0,Framed oil on canvas,8500.0,Keep 
35.0,2018.GAR.1,Duex-Two,Garza ,(blank),2017.0,Mixed Media,500.0,Keep 
36.0,2018.GAR.10,Biblioteca: 2-3 ,Garza ,(blank),2017.0,Mixed Media,600.0,Keep 
37.0,2018.GAR.11,File #7: 1 -2 ,Garza ,(blank),2017.0,Mixed Media,600.0,Keep 
38.0,2018.GAR.12,Not Special Delivery: 3-4,Garza ,(blank),2017.0,Mixed Media,600.0,Keep 
39.0,2018.GAR.2,Memo 1251,Garza ,(blank),2017.0,Mixed Media,500.0,Keep 
40.0,2018.GAR.3,Sequence Series: Amount Due 26,Garza ,(blank),2017.0,Mixed Media,500.0,Keep 
41.0,2018.GAR.4,Sequence Series: Kristalle 4,Garza ,(blank),2017.0,Mixed Media,500.0,Keep 
42.0,2018.GAR.5,TITLE TBD (3 TUV),Garza ,(blank),2017.0,Mixed Media,500.0,Keep 
43.0,2018.GAR.6,TITLE TBD (76543),Garza ,(blank),2017.0,Mixed Media,500.0,Keep 
44.0,2018.GAR.7,Turn Left at 348,Garza ,(blank),2017.0,Mixed Media,500.0,Keep 
45.0,2018.GAR.8,Universal Life 725,Garza ,(blank),2017.0,Mixed Media,500.0,Keep 
46.0,2018.GAR.9,Zer029 Notary 4,Garza ,(blank),2017.0,Mixed Media,500.0,Keep 
47.0,2018.GIL.1,Nique,Gilmore,Xavier,2017.0,Drawing,1500.0,Keep 
48.0,2018.GONZ.2,Hail Came and the Roofers Came to Fix It,Gonzalez,Raul,2017.0,Works on Paper,2600.0,Keep 
49.0,2018.GONZ.3,WhatMachine ,Gonzalez,Raul,2017.0,Works on Paper,660.0,Keep 
50.0,2018.GUER.1,Hide and Seek,Guerrero,Patricia ,2017.0,Painting,600.0,Keep 
51.0,2018.GUER.2,Las Cebollas,Guerrero,Patricia ,2017.0,Painting,600.0,Keep 
52.0,2018.GUER.3,Red Rover,Guerrero,Patricia ,2017.0,Painting,600.0,Keep 
53.0,2018.GUEV.1,Misión San José,Guevara,Jacinto,2017.0,Painting,1000.0,Keep 
54.0,2018.HAR.1,(Translated From a Payaya Children’s Activity Book for Adults),Harjo,Joe,2017.0,Works on Paper,1200.0,Keep 
55.0,2018.HOG.1,Director (Chair),Hogensen,Mark,2017.0,Drawing,475.0,Keep 
56.0,2018.HOG.2,Easy (Chair),Hogensen,Mark,2017.0,Drawing,475.0,Keep 
57.0,2018.HOG.3,Office (Chair),Hogensen,Mark,2017.0,Drawing,475.0,Keep 
58.0,2018.HOG.4,Wing (Chair),Hogensen,Mark,2017.0,Drawing,475.0,Keep 
59.0,2018.HOG.5,Landscape Series #12,Hogensen,Mark,2017.0,Drawing,1500.0,Keep 
60.0,2018.HOG.6,Landscape Series #13,Hogensen,Mark,2017.0,Drawing,1500.0,Keep 
61.0,2018.HOG.7,Road Trip #1,Hogensen,Mark,2017.0,Painting,2800.0,Keep 
62.0,2018.LOP.1,Pasando el Tiempo,Lopez,(blank),2017.0,Painting,3500.0,Keep 
63.0,2018.MARTI.1,Bato Verde ,Martinez,Cesar,2017.0,Oil on canvas,8000.0,Keep 
64.0,2018.MOR.10,No Me Falles Vaca,Mora,(blank),2017.0,Works on Paper,1500.0,Keep 
65.0,2018.PER.1,Manuela,Perez,Kristy ,2017.0,Drawing,2700.0,Keep 
66.0,2018.ROD.1,Dos Corazones,Rodriguez,Elizabeth,2017.0,Painting,4500.0,Keep 
67.0,2018.SOT.1.1,Dinosaur Tracks,Sotelo,Jose ,2017.0,Drawing,1000.0,Keep 
68.0,2018.SOT.1.2,Golden Cheeked Warbler,Sotelo,Jose ,2017.0,Drawing,1000.0,Keep 
69.0,2018.SOT.1.3,Mountain Lion,Sotelo,Jose ,2017.0,Drawing,1000.0,Keep 
70.0,2018.SOT.1.4,White Tailed Deer,Sotelo,Jose ,2017.0,Drawing,1000.0,Keep 
71.0,2018.SOT.1.5,Portal,Sotelo,Jose ,2017.0,Drawing,2000.0,Keep 
72.0,2018.STR.1,We Were There (The Pershing Chinese and His Soldiers),Stringer,Hiromi,2017.0,Works on Paper,1500.0,Keep 
73.0,2018.VALDE.1,Two Thousand Seventeen (7/10),Valdez,Vincent ,2017.0,Works on Paper,1200.0,Keep 
74.0,2018.VAR.1,Innocent Age (Child With Horse) ,Vargas,Kathy,2017.0,Photograph,1000.0,Keep 
75.0,2018.VAR.2,Innocent Age (Pinata Party),Vargas,Kathy,2017.0,Photograph,1000.0,Keep 
76.0,2018.VAR.3,Innocent Age 1,Vargas,Kathy,2017.0,Photograph,1000.0,Keep 
77.0,2018.VAR.4,Innocent Age 2,Vargas,Kathy,2017.0,Photograph,1000.0,Keep 
78.0,2018.VAR.5,Innocent Age Heart Pattern,Vargas,Kathy,2017.0,Photograph,1000.0,Keep 
79.0,2018.VAR.6,Corazon de Luto,Vargas,Kathy,2017.0,Framed lithograph,1200.0,Keep 
80.0,2018.VIL.1,What HAPpened,Villalobos,Jose,2017.0,Works on Paper,1450.0,Keep 
81.0,2018.ZAV.1.1,"fold our wings, and cease from wanderings 1",Zavala Castro,(blank),2017.0,Drawing,500.0,Keep 
82.0,2018.ZAV.1.2,"fold our wings, and cease from wanderings 2",Zavala Castro,(blank),2017.0,Drawing,500.0,Keep 
83.0,2018.ZAV.1.3,"fold our wings, and cease from wanderings 3",Zavala Castro,(blank),2017.0,Drawing,500.0,Keep 
84.0,2018.ZAV.1.4,"fold our wings, and cease from wanderings 4",Zavala Castro,(blank),2017.0,Drawing,500.0,Keep 
85.0,2018.ALV.1,The Edgewood Walkout of '68,Alvarez,Albert ,2018.0,Works on Paper,2500.0,Keep 
86.0,2018.ARM.2.1,Healer II,Armendariz,Richard,2018.0,Works on Paper,3000.0,Keep 
87.0,2018.ARM.2.2,Healer III,Armendariz,Richard,2018.0,Works on Paper,3000.0,Keep 
88.0,2018.BIS.1.1,#3,Bishop ,(blank),2018.0,Drawing,500.0,Keep 
89.0,2018.BIS.1.2,#12,Bishop ,(blank),2018.0,Drawing,500.0,Keep 
90.0,2018.BUR.1,"70 Mg of Vyvanse (Light Blue) 4/6, ",Burwell,(blank),2018.0,Works on Paper,500.0,Keep 
91.0,2018.BUR.2,70 Mg of Vyvanse (Dark Blue) 5/6,Burwell,(blank),2018.0,Works on Paper,500.0,Keep 
92.0,2018.BUR.3,70 Mg of Vyvanse (Purple) 2/3,Burwell,(blank),2018.0,Works on Paper,500.0,Keep 
93.0,2018.BUR.4,El Toro y La Luna (7/11),Burwell,(blank),2018.0,Works on Paper,500.0,Keep 
94.0,2018.CHAV.1,Cleto Rodriguez,Chavez,(blank),2018.0,Drawing,3250.0,Keep 
95.0,2018.COR.1.1,WWII Series (Miguel Encinas),Coronado,Sam,2018.0,Works on Paper,1200.0,Keep 
96.0,2018.COR.1.2,WWII Series (Raul Martinez) ,Coronado,Sam ,2018.0,Works on Paper,1200.0,Keep 
97.0,2018.DEL.2,Keep the Faith,De La Cruz,Joseph,2018.0,Drawing,2000.0,Keep 
98.0,2018.DEL.5,We Are Still Here,De La Cruz,Joseph,2018.0,Drawing,2000.0,Keep 
99.0,2018.LOPE.1, Que Viva Kelly Field,Lopez,(blank),2018.0,Painting,3500.0,Keep 
100.0,2018.MAC.1,Mask (Red),Macias,Alejandro,2018.0,Painting,1500.0,Keep 
101.0,2018.MAC.2,American Camo,Macias,Alejandro,2018.0,Works on Paper,1500.0,Keep 
102.0,2018.MAC.3,Nopal en la Frente ,Macias,Alejandro,2018.0,Works on Paper,1500.0,Keep 
103.0,2018.MEJ.1,My Mother's Passport,Mejorado,(blank),2018.0,Photograph,1500.0,Keep 
104.0,2018.MEN.1,"Lisa Wong, Acenar and Rosarios",Menjivar,Mark ,2018.0,Photograph,2000.0,Keep 
105.0,2018.MEN.2,Carino Cortez ,Menjivar,Mark,2018.0,Photograph,2000.0,Keep 
106.0,2018.MEN.3,"Gerardo Calvillo, Mirasol and Soluna",Menjivar,Mark,2018.0,Photograph,2000.0,Keep 
107.0,2018.MEN.4,Johnny Hernandez,Menjivar,Mark,2018.0,Photograph,2000.0,Keep 
108.0,2018.MEN.5,Rebel Mariposa,Menjivar,Mark,2018.0,Photograph,2000.0,Keep 
109.0,2018.MEN.6,Rico Torres,Menjivar,Mark,2018.0,Photograph,2000.0,Keep 
110.0,2018.MOJ.1,Sky Traveler,Mojica,(blank),2018.0,Painting,5000.0,Keep 
111.0,2018.MOJ.A.1,Childress Memorial Church of God in Christ,Mojica,Abraham ,2018.0,Painting,3000.0,Keep 
