 #,INVENTORY #,ARTWORK TITLE,ARTIST LAST NAME,ARTIST FIRST NAME,DATE ACQUIRED,ARTWORK DESCRIPTION,Insurance Value,KEEP / REMOVE
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
13,,,,,,,,
14,,,,,,,,
15,,,,,,,,
16,,,,,,,,
17,,,,,,,,
