#,NEW Accession Number ,Old Accession Number (only If changed),Collection Location,PHOTO,KEEP / REMOVE,REASON REMOVED,SAP Asset Tag #,ARTIST FIRST NAME,ARTIST LAST NAME,ARTWORK TITLE,Category ,TYPE,MEDIA,DIMENSIONS,Client Department,ARTWORK DESCRIPTION,NOTES,YEAR COMPLETED,YEAR ACQUIRED,FUNDING TYPE,DONOR / AQUIRED FROM,PROJECT IN GROUP LOCATION?, LOCATION,ARTWORK ADDRESS,ZIP CODE,X COORDINATES,Y COORDINATES,INTERIOR/EXTERIOR,COUNCIL DISTRICT,HISTORIC DISTRICT?,INSTALLATION VENUE,City Insured,PO NUMBER (FOR CEE),BUDGET,Insurance Value,YEAR VALUE WAS GIVEN,CAPITOL IMPROVEMENT PROJECT,PASA COMMISSION,Design Team Consultant,General Contractors / Artist Subcontractors 
69,2018.FRE.1.11-1.15,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,French & Michigan,,"CPS Mural, ""Time Capsules Reflections of Our Changing Community""",,Framed Mural,Four painted steel frames,4' x 5.5',Arts & Culture,Four painted steel frames (16 total) with artwork from students at nearby schools. Photographic print on MDO board.,Artworks rotate every 1-2 years,2018.0,2018,2012 Bond Program,,,Blanco Road  CPS Substation at Dresden,5283 Blanco Drive ,78213.0,-98.508144,29.498953,Exterior ,1,No,Outdoor - Display,Yes,,22500.0,22500.0,,,Yes,,
70,2014.ROD.2,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Angel,Rodríguez-Díaz,Crossroads of Enlightenment,,Sculpture ,Steel,"Towers: 30'X10' D, 20’ H; Bases: 10’ H, 10’ D",Public Works ,Two steel sculptures that serve as a neighborhood gateway. Carved with references of the surrounding area.,,2014.0,2014,2012 Bond Program,,,Blanco Road at Basse,4400 Blanco Road,78212.0,-98.5078,29.4883,exterior ,1,No,Outdoor - Display,Yes,,218200.0,218200.0,,,Yes,,
71,2006.BUD.1.3,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Susan ,Budge,Waterworks,,Sculpture,Ceramic,,Parks & Recreation,"Dark blue and green horizontal form, represents a flowing stream of water.","Brackenridge Park Wilderness Trails 

The blue statue references George Brackenridge and his ""waterworks,"" which supplied much of San Antonio with clean water during the late 19th-century.Three fired clay sculptures, incorporating stories of Brackenridge Park's history, located at trailheads within the Park. All mounted on top of rock cairn structure",2006.0,2006,1999 Bond Program,,,Brackenridge Park,3700 North St. Mary's ,78212.0,-98.47449133299995,29.456246667000073,exterior,2,RIO-1,Outdoor - Display,Yes,,13000.0,15000.0,,,yes,Rialto Studio,
72,2006.BUD.1.2,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Susan ,Budge,Anaqua,,Sculpture,Ceramic,,Parks & Recreation,"Fired clay, burnt orange, vertical bird head, pointing towards the sky, with hollow eye, and small anaqua seed in the its mouth. Represents a bird with an anaqua seed in its mouth.",,2006.0,2006,1999 Bond Program,,,Brackenridge Park,3700 North St. Mary's ,78212.0,-98.47232033299991,29.461282667000035,exterior,2,RIO-1,Outdoor - Display,Yes,,13000.0,15000.0,,,yes,Rialto Studio,
73,2014.CAI.1.3,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Andrea ,Cailouet,Urban Porch,,Bus Shelter,Powder-coated steel,,Public Works ,,Behind Guadalupe Cultural Arts Education Center,2014.0,2014,CDBG Grant,,,Guadalupe Cultural Arts Center,1213 Guadalupe St. ,78207.0,-98.51387,29.41858,Exterior ,5,No,Condition issues,Yes,,270000.0,270000.0,,,,,
74,2014.CAI.1.2,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Andrea ,Cailouet,Urban Porch,,Bus Shelter,Powder-coated steel,,Public Works ,,Next to teater ,2014.0,2014,CDBG Grant,,,Guadalupe Cultural Arts Center,723 S. Brazos St.,78207.0,-98.51448,29.42006,Exterior ,5,No,Condition issues,Yes,,270000.0,270000.0,,,,,
75,1941.GRE.8,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Mary Vance,Green,Soldiers Leave for Civil War,,Tile,Tile,"36 x 24""",Center City Development & Operations,"6, 12inx12in hand painted w/3d molded ceramic tiles","The sculptural tiles were designed by artist Mary Vance Green, and carved, glazed and fired by students from the National Youth Administration(NYA) program.

Cos House Courtyard",,1941,Donation,,,"La Villita, Cos House Courtyard",418 Villita,78205.0,-98.48854486199991,29.421337079000068,exterior,CW,La Villita,Storage,Yes,,,5000.0,,,,,
76,1941.GRE.7,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Mary Vance,Green,Maury Maverick & President Roosevelt-La Villita,,Tile,Tile,"36 x 24""",Center City Development & Operations,"6, 12inx12in hand painted w/3d molded ceramic tiles","The sculptural tiles were designed by artist Mary Vance Green, and carved, glazed and fired by students from the National Youth Administration(NYA) program.

Cos House Courtyard",,1941,Donation,,,"La Villita, Cos House Courtyard",418 Villita,78205.0,-98.48854486199991,29.421337079000068,exterior,CW,La Villita,Storage,Yes,,,5000.0,,,,,
77,1941.GRE.6,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Mary Vance,Green,General Burleson & Cos-Terms of Surrender,,Tile,Tile,"24"" x 36""",Center City Development & Operations,"6, 12inx12in hand painted w/3d molded ceramic tiles","The sculptural tiles were designed by artist Mary Vance Green, and carved, glazed and fired by students from the National Youth Administration(NYA) program.

Cos House Courtyard",,1941,Donation,,,"La Villita, Cos House Courtyard",418 Villita,78205.0,-98.48854486199991,29.421337079000068,exterior,CW,La Villita,Storage,Yes,,,5000.0,,,,,
78,1941.GRE.5,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Mary Vance,Green,Cattle Herded for Chisolm Trial,,Tile,Tile,"24"" x 36""",Center City Development & Operations,"6, 12inx12in hand painted w/3d molded ceramic tiles","The sculptural tiles were designed by artist Mary Vance Green, and carved, glazed and fired by students from the National Youth Administration(NYA) program.

Cos House Courtyard",,1941,Donation,,,"La Villita, Cos House Courtyard",418 Villita,78205.0,-98.48854486199991,29.421337079000068,exterior,CW,La Villita,Storage,Yes,,,5000.0,,,,,
79,1941.GRE.4,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Mary Vance,Green,Cabeza de Vaca Trading Hides with Indians,,Tile,Tile,"24"" x 36""",Center City Development & Operations,"6, 12inx12in hand painted w/3d molded ceramic tiles","The sculptural tiles were designed by artist Mary Vance Green, and carved, glazed and fired by students from the National Youth Administration(NYA) program.",,1941,Donation,,,"La Villita, Cos House Courtyard",418 Villita,78205.0,-98.48854486199991,29.421337079000068,exterior,CW,La Villita,Storage,Yes,,,5000.0,,,,,
80,1941.GRE.3,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Mary Vance,Green,1836 Eve of Battle at the Alamo,,Tile,Tile,"12"" x 12"" (6)",Center City Development & Operations,"6, 12inx12in hand painted w/3d molded ceramic tiles","The sculptural tiles were designed by artist Mary Vance Green, and carved, glazed and fired by students from the National Youth Administration(NYA) program.

Cos House Courtyard",,1941,Donation,,,"La Villita, Cos House Courtyard",418 Villita,78205.0,-98.48854486199991,29.421337079000068,exterior,CW,La Villita,Storage,Yes,,,5000.0,,,,,
81,1941.GRE.2,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Mary Vance,Green,1811 Colonel Delgado,,Tile,Tile,"12"" x 12"" (6)",Center City Development & Operations,"6, 12inx12in hand painted w/3d molded ceramic tiles","The sculptural tiles were designed by artist Mary Vance Green, and carved, glazed and fired by students from the National Youth Administration(NYA) program.",,1941,Donation,,,"La Villita, Cos House Courtyard",418 Villita,78205.0,-98.48854486199991,29.421337079000068,exterior,CW,La Villita,Storage,Yes,,,5000.0,,,,,
82,2016.SIM.2.2,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Buster ,Simpson,Wickiup Encampment (Bench),,Shade Structure,Stone,,Parks & Recreation,Concrete snake bench. ,,2016.0,2016,2012 Bond Program,,,Pearsall Park,4838 Old Pearsall Rd.,78242.0,-98.5927074,29.3539369,Exterior ,4,Military Plaza,Outdoor - Display,Yes,,218000.0,218000.0,,,Yes,,
83,2016.SIM.2.1,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Buster ,Simpson,Wickiup Encampment,,Shade Structure,"Steel, mesh",13' x 52' and 13' x 26',Parks & Recreation,Sites with one metal dome made of metal mesh.,,2016.0,2016,2012 Bond Program,,,Pearsall Park,4838 Old Pearsall Rd.,78242.0,-98.5927074,29.3539369,Exterior ,4,Military Plaza,Outdoor - Display,Yes,,218000.0,218000.0,,,Yes,,
84,2016.SIM.1.2,,Public Art - Exterior,Yes,Remove,Inventory line item was consolidated  in single project line item.,,Buster ,Simpson,Wickiup Overlook (Bench),,Shade Structure,concrete,,Parks & Recreation,Concrete triangle bench. ,,2016.0,2016,2012 Bond Program,,,Pearsall Park,4838 Old Pearsall Rd.,78242.0,-98.5927074,29.3539369,Exterior ,4,Military Plaza,Outdoor - Display,Yes,,110000.0,110000.0,,,Yes,,
85,2011.ZUB.1.1,,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,Peter,Zubiate,Stone Oak Shadows,Three Dimensional ,Sculpture,"Wood, steel","10'x 8'6"" x 3'6""",Library,"Colorful steel cut tree shadows, layered in a niche in the library's entrance",,2011.0,2011,2007 Bond Program,,,Parman Branch library,20735 Wilderness Oak Dr ,78260.0,-98.51646849699995,29.63479503700006,,9,No,Outdoor - Display,Yes,,43724.0,10000.0,,,,,
86,2011.SAU.1.3,,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,Chris ,Sauter,Foundations,Two Dimensional,Painting,"Acrylic paint, mixed media",,Library,"mixed-media mural for the library’s interior metaphorically illustrates the deep stretch of geological history that lies beneath the grounds of the new library. The layers include paint, dirt, magazine clippings, and other 2D historical relics",,2011.0,2011,2007 Bond Program,,,Mission Branch Library,3134 Roosevelt Ave. ,78214.0,-98.48008,29.36514,,3,Mission,Indoor - Display,Yes,,66750.0,15000.0,,,,,
87,2011.SAU.1.1,,Public Art - Exterior,Yes,,Inventory line item was consolidated  in single project line item.,,Chris ,Sauter,Core Samples - Projector,Three Dimensional ,Sculpture,"concrete stone, artifacts",,Library,Two outdoor sculptures resembling geological “core samples” that have been excavated from the library grounds. One is positioned near the entrance of the library and projects the library’s name onto the building. A projector and other artifacts are embedded within the stained concrete structure.,,2011.0,2011,2007 Bond Program,,,Mission Branch Library,3134 Roosevelt Ave. ,78214.0,-98.48008,29.36514,,3,Mission,Outdoor - Display,Yes,,66750.0,35000.0,,,,,
88,2018.VAR.6,,CE - Interior,Yes,,Duplicate,,Kathy,Vargas,Corazon de Luto,Two Dimensional,Print,Mixed Media,,Library,Framed lithograph,,,2017,,,,Central Library,600 Soledad,78205.0,-98.4929085,29.43247,,1,"RIO-3
RIO-7A Downtown Design Area
Individual Landmark",Indoor-Display,Yes,,,1200.0,,,,,
89,2018.FER.9,,CE - Interior,Yes,,Duplicate,,Ana,Fernandez,Flight,Two Dimensional,Painting,,,Library,Framed oil on canvas,,,2017,,,,Central Library,600 Soledad,78205.0,,,,,,,,,,8500.0,,,,,
90,2018.MARTI.1,,CE - Interior,Yes,,Duplicate,,Cesar,Martinez,Bato Verde ,Two Dimensional,Painting,,,Library,Oil on canvas,,,2017,,,,Central Library,600 Soledad,78205.0,,,,,,,Yes,,,8000.0,,,,,
91,Ajones_ABlackGirl'sSoulCleanse,,Loan,Yes,,Loan ended ,,Alethia,Jones,A Black Girl's Soul Cleanse,,,"burn marks, acrylic, and marker on leather",16in × 20in,Arts & Culture,"burn marks, acrylic, and marker on leather16in × 20in",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,3000.0,2022.0,,,,
92,Ajones_SheShinesHerLight,,Loan,Yes,,Loan ended ,,Alethia,Jones,She Shines Her Light,,,"burn marks, acrylic, and marker on leather",16in × 20in,Arts & Culture,"burn marks, acrylic, and marker on leather16in × 20in",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,3000.0,2022.0,,,,
93,Ajones_SoundTherapy ,,Loan,Yes,,Loan ended ,,Alethia,Jones,Sound Therapy ,,,"burn marks, acrylic, and marker on leather",16in × 20in,Arts & Culture,"burn marks, acrylic, and marker on leather16in × 20in",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,3000.0,2022.0,,,,
94,1918.SAL.3,,Public Art - Interior,Yes,,Loan ended ,,Sal,Salomon,Dr. Frederick Terrell,,,Oil on canvas,,Office of the City Clerk,Mayoral Portrait,served 1903,1918.0,1918,Donation,,,Municipal Plaza Building,114 West Commerce,78205.0,-98.49411936699994,29.42484219000005,,1,Main Plaza,Indoor - Display,Yes,,,5000.0,,,,,
95,Aweddle_Food Chain,,Loan,Yes,,Loan ended ,,Angela,Weddle,Food Chain,,,Drawing,"11"" x 14"" (16x20 frame)",Arts & Culture,"Drawing11"" x 14"" (16x20 frame)",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,1000.0,2022.0,,,,
96,AWeddle_Growth,,Loan,Yes,,Loan ended ,,Angela,Weddle,Growth,,,Drawing,"11"" x 14"" (16x20 frame)",Arts & Culture,"Drawing11"" x 14"" (16x20 frame)",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,1000.0,2022.0,,,,
97,Aweddle_Sprawl,,Loan,Yes,,Loan ended ,,Angela,Weddle,Sprawl,,,Drawing,"11"" x 14"" (16x20 frame)",Arts & Culture,"Drawing11"" x 14"" (16x20 frame)",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,1000.0,2022.0,,,,
98,1918.SAL.2,,Public Art - Interior,Yes,,Loan ended ,,Sal,Salomon,Marshall Hicks,,,Oil on canvas,,Office of the City Clerk,Mayoral Portrait,served 1903,1918.0,1918,Donation,,,Municipal Plaza Building,114 West Commerce,78205.0,-98.49411936699994,29.42484219000005,,1,Main Plaza,Indoor - Display,Yes,,,5000.0,,,,,
99,1918.SAL.1,,Public Art - Interior,Yes,,Loan ended ,,Sal,Salomon,Henry Elmendorf,,,Oil on canvas,,Office of the City Clerk,Mayoral Portrait,served 1894-97,1918.0,1918,Donation,,,Municipal Plaza Building,114 West Commerce,78205.0,-98.49411936699994,29.42484219000005,,1,Main Plaza,Indoor - Display,Yes,,,5000.0,,,,,
100,Cartiness Johnson_Invitation Only ,,Loan,Yes,,Loan ended ,,Carmen,Cartiness Johnson,Invitation Only ,,,Acrylic on canvas,"42"" x 72""",Arts & Culture,"Acrylic on canvas42"" x 72""",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,20000.0,2022.0,,,,
101,1918.NA.1,,Public Art - Exterior,Yes,,Loan ended ,,,,Camino Real Monument,,,Granite,,Parks & Recreation,Gift from D.A.R & the state of Texas,,1918.0,1918,Donation,Gift from D.A.R & the state of Texas,,San Pedro Springs Park,1315 San Pedro,78212.0,-98.50162289299993,29.44690490100004,,1,Military Plaza,Outdoor - Restricted,Yes,,,5000.0,,,,,
102,1915.NA.1,,Public Art - Exterior,Yes,,Loan ended ,,,,Koehler Park Gates,,,"Stone, Metal",,Parks & Recreation,Two stone gates with black and gold metal on either side of N. St. Mary's before round about on Tuleta Drive.,Brackenridge Park Koehler Park,1915.0,1915,Donation,,,Brackenridge Park,3874 N St Mary's ,78209.0,-98.47402,29.461674,,2,RIO-1,Outdoor - Display,Yes,,,50000.0,,,,,
103,1914.TAU.1,,Public Art - Exterior,Yes,,Loan ended ,,Waldine,Tauch,First Inhabitant,,,Stone,"7'h x41""wx18""d, Base 6"" h x 7' w x 3' d",Center City Development & Operations,"Ultra relief 74"" male fig. Encompassed by arch facing street, 3/wide stone steps leading up to it.  Figure in full headdress holding bowls in open hands.  Wears draped breechcloth moccasins & bear necklace stylized w/corn in background both sides.","Hannibal Pianta, fabricator.- Commisssioned  by the San Antonio Express",1914.0,1914,Donation,San Antonio Express,,Commerce Street Bridge,"300-348 E River Walk St
San Antonio, TX
",78205.0,-98.48794694999992,29.423783117000085,,1,RIO-3,Outdoor - Display,Yes,,1000.0,50000.0,,,,,
104,Coleman_BETJEC-O,,Loan,Yes,,Loan ended ,,John,Coleman,BETJEC-O,,,Oil on Canvas,33.5 in. x 45 in. ,Arts & Culture,Oil on Canvas33.5 in. x 45 in. ,Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,8000.0,2022.0,,,,
105,Dharris_WIPFull_American LegacyII,,Loan,Yes,,Loan ended ,,Deborah,Harris,American Legacy Too,,,Fiber and faux leather,38 in. w x 90 in. h,Arts & Culture,Fiber and faux leather38 in. w x 90 in. h,Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,2500.0,2022.0,,,,
106,1913.SAL.9,,Public Art - Interior,Yes,,Loan ended ,,Sal,Salomon,Samuel Maverick,,,Oil on canvas,,Office of the City Clerk,Mayoral Portrait,served 1839-40 & 1862-63,1913.0,1913,Donation,,,Municipal Plaza Building,114 West Commerce,78205.0,-98.4941955037895,29.4250772817472,,1,Main Plaza,Indoor - Display,Yes,,,5000.0,,,,,
107,1913.SAL.8,,Public Art - Interior,Yes,,Loan ended ,,Sal,Salomon,WCA Thielepape,,,Oil on canvas,,Office of the City Clerk,Mayoral Portrait,served 1913,1913.0,1913,Donation,,,Municipal Plaza Building,114 West Commerce,78205.0,-98.4941955037895,29.4250772817472,,1,Main Plaza,Indoor - Display,Yes,,,5000.0,,,,,
108,1913.SAL.7,,Public Art - Interior,Yes,,Loan ended ,,Sal,Salomon,John Campbell,,,Oil on canvas,,Office of the City Clerk,Mayoral Portrait,served 1913,1913.0,1913,Donation,,,Municipal Plaza Building,114 West Commerce,78205.0,-98.4941955037895,29.4250772817472,,1,Main Plaza,Indoor - Display,Yes,,,5000.0,,,,,
109,1913.SAL.6,,Public Art - Interior,Yes,,Loan ended ,,Sal,Salomon,Charles F. King,,,Oil on canvas,,Office of the City Clerk,Mayoral Portrait,served 1847-48 & 1852-53,1913.0,1913,Donation,,,Municipal Plaza Building,114 West Commerce,78205.0,-98.4941955037895,29.4250772817472,,1,Main Plaza,Indoor - Display,Yes,,,5000.0,,,,,
110,1913.SAL.5,,Public Art - Interior,Yes,,Loan ended ,,Sal,Salomon,Albert Steves,,,Oil on canvas,,Office of the City Clerk,Mayoral Portrait,served 1913,1913.0,1913,Donation,,,Municipal Plaza Building,114 West Commerce,78205.0,-98.4941955037895,29.4250772817472,,1,Main Plaza,Indoor - Display,Yes,,,5000.0,,,,,
111,1913.SAL.4,,Public Art - Interior,Yes,,Loan ended ,,Sal,Salomon,James R. Sweet,,,Oil on canvas,,Building & Equipment Services,Mayoral Portrait,served 1855-56,1913.0,1913,Donation,,,Municipal Plaza Building,114 West Commerce,78205.0,-98.4941955037895,29.4250772817472,,1,Main Plaza,Indoor - Display,Yes,,,5000.0,,,,,
112,1913.SAL.3,,Public Art - Interior,Yes,,Loan ended ,,Sal,Salomon,Antonio Menchaca,,,Oil on canvas,,Office of the City Clerk,Mayoral Portrait,served 1838-39,1913.0,1913,Donation,,,Municipal Plaza Building,114 West Commerce,78205.0,-98.4941955037895,29.4250772817472,,1,Main Plaza,Indoor - Display,Yes,,,5000.0,,,,,
113,1913.SAL.2,,Public Art - Interior,Yes,,Loan ended ,,Sal,Salomon,Bryan Callaghan,,,Oil on canvas,,Office of the City Clerk,Mayoral Portrait,served many terms,1913.0,1913,Donation,,,Municipal Plaza Building,114 West Commerce,78205.0,-98.4941955037895,29.4250772817472,,1,Main Plaza,Indoor - Display,Yes,,,5000.0,,,,,
114,1913.SAL.1,,Public Art - Interior,Yes,,Loan ended ,,Sal,Salomon,Clinton Brown,,,Oil on canvas,,Building & Equipment Services,Mayoral Portrait,served 1913-17,1913.0,1913,Donation,,,Municipal Plaza Building,114 West Commerce,78205.0,-98.4941955037895,29.4250772817472,,1,Main Plaza,Indoor - Display,Yes,,,5000.0,,,,,
115,1906.COP.1,,Public Art - Exterior,Yes,,Loan ended ,,Pompeo,Coppini,Ludwig Mahncke Bust,,,Pink Granite,"42""x33""x6"", base 6'9""x8'x8'",Parks & Recreation,"Portrait of bust of Ludwig Mahncke faces west.  On the base is a youth in bas relief, writing Mr. Mahncke's name and holding a wreath.",Tribute to Ludwig Mahncke from public,1906.0,1906,Donation,Citizens of San Antonio,,Mahncke Park,3400 Broadway ,78209.0,,,,2,Military Plaza,Outdoor - Display,Yes,,,50000.0,,,,,
116,2016.BRA.1,,Public Art - Interior,Yes,,Loan ended ,,Cakky ,Brawley ,"Past, Present, and Future",,,"Steel, acrylic, LED ","36' x 10' , 10' x 8' x 10'",Library,Triptych with a central globe or compass and two flanking maps.,,2017.0,2017,2012 Bond Program,,,Schaefer Branch Library,6322 US Hwy 87 E,78222.0,-98.365941,29.393409,,2,No,Indoor - Display,Yes,,100000.0,100000.0,2017.0,,,,
117,1897.NA.1,,Public Art - Exterior,Yes,,Loan ended ,,,,Milam Memorial,,,Granite,,Parks & Recreation,Erected by the DeZavala chapter of the Daughters of the Repulic of Texas,,1897.0,1897,Donation,,,Milam Park,500 West Commerce,78207.0,-98.49924343,29.42612353700008,,1,Military Plaza,Outdoor - Display,Yes,,,20000.0,,,,,
118,FrancisA - 2021,,Loan,Yes,,Loan ended ,,Anthony,Francis,"Lanece and Rico, A Dance and-or things Mother's Might Do - 2021",,,Photographic Print on Dibond in Artist frame,42 x 52 in.,Arts & Culture,Photographic Print on Dibond in Artist frame42 x 52 in.,Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,5000.0,2022.0,,,,
119,Gakwaya_ChildhoodMemories,,Loan,Yes,,Loan ended ,,Alain Boris,Gakwaya,Childhood Memories,,,"Acrylic, oil pastels and markers on canvas",30 x 30 in. ,Arts & Culture,"Acrylic, oil pastels and markers on canvas30 x 30 in. ",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,1200.0,2022.0,,,,
120,Gakwaya_SecondHome,,Loan,Yes,,Loan ended ,,Alain Boris,Gakwaya,Second Home,,,"Acrylic, oil pastels and markers on canvas",30 x 30 in. ,Arts & Culture,"Acrylic, oil pastels and markers on canvas30 x 30 in. ",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,1200.0,2022.0,,,,
121,Harris_2022_HTW,,Loan,Yes,,Loan ended ,,Edward,Harris,The One with the Working Hands ,,,"fabric, oil on canvas, lace",15in. x 54in. (both),Arts & Culture,"fabric, oil on canvas, lace15in. x 54in. (both)",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,550.0,2022.0,,,,
122,Harris_2022_I Wish ,,Loan,Yes,,Loan ended ,,Edward,Harris,I Wish Someone Told Me This When I Was Younger ,,,"fabric, oil on canvas, lace",15in. x 54in. (both),Arts & Culture,"fabric, oil on canvas, lace15in. x 54in. (both)",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,550.0,2022.0,,,,
123,Hurd1_PreachingtheWord ,,Loan,Yes,,Loan ended ,,Paul,Hurd,Preaching the Word ,,,"Hand carved wooden cane, painted","31.5 x 12""",Arts & Culture,"Hand carved wooden cane, painted31.5 x 12""",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,1200.0,2022.0,,,,
124,Hurd2_DeliveringtheWord,,Loan,Yes,,Loan ended ,,Paul ,Hurd,Delivering the Word,,,"Hand carved wooden cane, painted","37.5 x 9""",Arts & Culture,"Hand carved wooden cane, painted37.5 x 9""",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,1200.0,2022.0,,,,
125,Hurd3_WadeInTheWaterReady,,Loan,Yes,,Loan ended ,,Paul ,Hurd,Wade in the Water Ready,,,"Hand carved wooden cane, painted","37 x 9""",Arts & Culture,"Hand carved wooden cane, painted37 x 9""",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,800.0,2022.0,,,,
126,Hurd4 - SundayBest,,Loan,Yes,,Loan ended ,,Paul ,Hurd,Sunday Best,,,"Hand carved wooden cane, painted","39 x 9""",Arts & Culture,"Hand carved wooden cane, painted39 x 9""",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,1200.0,2022.0,,,,
127,Hurd5_PrayingforDeliverance,,Loan,Yes,,Loan ended ,,Paul ,Hurd,Praying for Deliverance,,,"Hand carved wooden cane, painted","36 x 8""",Arts & Culture,"Hand carved wooden cane, painted36 x 8""",Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,1200.0,2022.0,,,,
128,Kdow_Dynamic,,Loan,Yes,,Loan ended ,,Kaldric,Dow,Dynamic (Female Collage #4),,,Mixed media on canvas,30 x 40 in. ,Arts & Culture,Mixed media on canvas30 x 40 in. ,Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,5000.0,2022.0,,,,
129,Kdow_WaveKing,,Loan,Yes,,Loan ended ,,Kaldric,Dow,Wave King (Male Collage #5) ,,,Mixed media on canvas,30 x 40 in. ,Arts & Culture,Mixed media on canvas30 x 40 in. ,Between Yesterday and Tomorrow,,,,On loan from artist,,Culture Commons at Plaza de Armas,115 Plaza de Armas,78205.0,-98.49614,29.42485,,,,Indoor-Display,Yes,,,5000.0,2022.0,,,,
