ACCESSNO,ACQVALUE,APPNOTES,APPRAISOR,AUTHORX,CALLNO,CAPTION,CATBY,CATDATE,CLASSES,COLLECTION,CONDDATE,CONDEXAM,CONDITION,CONDNOTES,CONTROLNO,COPYNO,CREATOR,CREDIT,CURVALMAX,CURVALUE,DATASET,DATE,DESCRIP,DISPVALUE,EARLYDATE,EDITION,EVENT,EXHIBITNO,EXHLABEL1,EXHLABEL2,EXHLABEL3,EXHLABEL4,EXHSTART,FLAGDATE,FLAGNOTES,FLAGREASON,GPARENT,HOMELOC,IMAGENO,INSCOMP,INSDATE,INSPHONE,INSPREMIUM,INSREP,INSVALUE,INVNBY,INVNDATE,ISBN,ISSN,LANGUAGE,LATDEG,LATEDATE,LCCN,LEGAL,LOANCOND,LOANDUE,LOANINNO,LOANNO,LOCFIELD1,LOCFIELD2,LOCFIELD3,LOCFIELD4,LOCFIELD5,LOCFIELD6,LONGDEG,MAINTCYCLE,MAINTDATE,MAINTNOTE,NOTES,OBJECTID,OBJNAME,OBJNAME2,OBJNAME3,OBJNAMES,OLDNO,OTHERNO,PARENT,PEOPLE,PHYSDESC,POLICYNO,PROVENANCE,PUBLISHER,PUBNOTES,PUBPLACE,RECAS,RECDATE,RECFROM,RELNOTES,SERIES,SERIESX,SITE,SITENO,SITESADDED,SPINELBL,STATUS,STATUSBY,STATUSDATE,STERMS,SUBJECTS,TEMPAUTHOR,TEMPBY,TEMPDATE,TEMPLOC,TEMPNOTES,TEMPREASON,TEMPUNTIL,TITLE,TITLEX,TLOCFIELD1,TLOCFIELD2,TLOCFIELD3,TLOCFIELD4,TLOCFIELD5,TLOCFIELD6,UDF1,UDF10,UDF11,UDF12,UDF13,UDF14,UDF15,UDF16,UDF17,UDF18,UDF19,UDF2,UDF20,UDF21,UDF22,UDF3,UDF4,UDF5,UDF6,UDF7,UDF8,UDF9,UPDATED,UPDATEDBY,VALUEDATE,WEBINCLUDE
OHM B1827,0,,,,,,pes,2002-01-17 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"browning, robert",,0,0,,1898,,,1880,,,0,,,,,/ /,/ / : : AM,,,8: Communication Artifact,livingroom case behind grandfather clock,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,2002-01-17 00:00:00,,marbled endpapers and edgings,OHM B1827,book,,,,,,Documentary Artifact,,200 p,,,crowell,,new york,,,,,,,,,,,Shelf,,/ /,,english poetry,,,/ /,,,,,balaustion's adventure,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-10-26 14:11:00,Unknown,/ /,.F.
OHM B1828,0,,,,,,pes,2002-01-17 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"browning, robert",,0,0,,1898,,,1880,,,0,,,,,/ /,/ / : : AM,,,8: Communication Artifact,livingroom case behind grandfather clock,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,2002-01-17 00:00:00,,marbled endpapers and edgings,OHM B1828,book,,,,,,Documentary Artifact,,200 p,,,crowell,,new york,,,,,,,,,,,Shelf,,/ /,,english poetry,,,/ /,,,,,dramatic lyrics,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-10-26 14:11:00,Unknown,/ /,.F.
OHM B1829,0,,,,,,pes,2002-01-17 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"browning, robert",,0,0,,1898,,,1880,,,0,,,,,/ /,/ / : : AM,,,8: Communication Artifact,livingroom case behind grandfather clock,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,2002-01-17 00:00:00,,marbled endpapers and edgings,OHM B1829,book,,,,,,Documentary Artifact,,200 p,,,crowell,,new york,,,,,,,,,,,Shelf,,/ /,,english poetry,,,/ /,,,,,return of the druses,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-10-26 14:12:00,Unknown,/ /,.F.
OHM B1830,0,,,,,,pes,2002-01-17 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"browning, robert",,0,0,,1898,,,1880,,,0,,,,,/ /,/ / : : AM,,,8: Communication Artifact,livingroom case behind grandfather clock,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,2002-01-17 00:00:00,,marbled endpapers and edgings,OHM B1830,book,,,,,,Documentary Artifact,,200 p,,,crowell,,new york,,,,,,,,,,,Shelf,,/ /,,english poetry,,,/ /,,,,,ferishtah's fancies,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-10-26 14:13:00,Unknown,/ /,.F.
OHM B1823,0,,,,,,pes,2002-01-17 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"browning, robert",,0,0,,1898,,,1880,,,0,,,,,/ /,/ / : : AM,,,8: Communication Artifact,livingroom case behind grandfather clock,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,2002-01-17 00:00:00,,marbled endpapers and edgings,OHM B1823,book,,,,,,Documentary Artifact,,200 p,,,crowell,,new york,,,,,,,,,,,Shelf,,/ /,,english poetry,,,/ /,,,,,men and women,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-10-26 14:14:00,Unknown,/ /,.F.
OHM B1824,0,,,,,,pes,2002-01-17 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"browning, robert",,0,0,,1898,,,1880,,,0,,,,,/ /,/ / : : AM,,,9: Recreational Artifacts,livingroom case behind grandfather clock,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,2002-01-17 00:00:00,,marbled endpapers and edgings,OHM B1824,book,,,,,,Toy,,200 p,,,crowell,,new york,,,,,,,,,,,Shelf,,/ /,,english poetry,,,/ /,,,,,pauline,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-10-26 14:14:00,Unknown,/ /,.F.
OHM B1825,0,,,,,,pes,2002-01-17 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"browning, robert",,0,0,,1898,,,1880,,,0,,,,,/ /,/ / : : AM,,,10: Unclassifiable Artifacts,livingroom case behind grandfather clock,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,2002-01-17 00:00:00,,marbled endpapers and edgings,OHM B1825,book,,,,,,Need to Pick Subcategory,,200 p,,,crowell,,new york,,,,,,,,,,,Shelf,,/ /,,english poetry,,,/ /,,,,,prince holenstiel,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-10-26 14:16:00,Unknown,/ /,.F.
OHM B1831,0,,,,,,pes,2002-01-17 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"browning, robert",,0,0,,1898,,,1880,,,0,,,,,/ /,/ / : : AM,,,10: Unclassifiable Artifacts,livingroom case behind grandfather clock,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,2002-01-17 00:00:00,,marbled endpapers and edgings,OHM B1831,book,,,,,,Need to Pick Subcategory,,200 p,,,crowell,,new york,,,,,,,,,,,Shelf,,/ /,,english poetry,,,/ /,,,,,red cotton night cap country,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-10-26 14:17:00,Unknown,/ /,.F.
OHM B1820,0,,,,,,pes,2002-01-17 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"browning, robert",,0,0,,1898,,,1880,,,0,,,,,/ /,/ / : : AM,,,10: Unclassifiable Artifacts,livingroom case behind grandfather clock,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,2002-01-17 00:00:00,,marbled endpapers and edgings,OHM B1820,book,,,,,,Need to Pick Subcategory,,200 p,,,crowell,,new york,,,,,vol 1,,,,,,Shelf,,/ /,,english poetry,,,/ /,,,,,the ring and the book,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-10-26 14:17:00,Unknown,/ /,.F.
OHM B1821,0,,,,,,pes,2002-01-17 00:00:00,,Osborne Homestead Museum,/ /,,Good,,,1,"browning, robert",,0,0,,1898,,,1880,,,0,,,,,/ /,/ / : : AM,,,10: Unclassifiable Artifacts,livingroom case behind grandfather clock,0,,/ /,,,,0,,/ /,,,,0,0,,,,/ /,,0,,,,,,,0,,2002-01-17 00:00:00,,marbled endpapers and edgings,OHM B1821,book,,,,,,Need to Pick Subcategory,,200 p,,,crowell,,new york,,,,,vol 2,,,,,,Shelf,,/ /,,english poetry,,,/ /,,,,,the ring and the book,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2007-10-26 14:18:00,Unknown,/ /,.F.
