ACCESSNO,ACQVALUE,APPNOTES,APPRAISOR,CAPTION,CATBY,CATDATE,CLASSES,COLLECTION,CONDDATE,CONDEXAM,CONDITION,CONDNOTES,COPYRIGHT,CREATOR,CREDIT,CURVALMAX,CURVALUE,DATASET,DATE,DESCRIP,DIMNOTES,DISPVALUE,EARLYDATE,EVENT,EXHIBITNO,EXHLABEL1,EXHLABEL2,EXHLABEL3,EXHLABEL4,EXHSTART,FILMSIZE,FLAGDATE,FLAGNOTES,FLAGREASON,FRAME,FRAMENO,GPARENT,HOMELOC,IMAGENO,INSCOMP,INSDATE,INSPHONE,INSPREMIUM,INSREP,INSVALUE,INVNBY,INVNDATE,LATDEG,LATEDATE,LEGAL,LOANCOND,LOANDUE,LOANINNO,LOANNO,LOCFIELD1,LOCFIELD2,LOCFIELD3,LOCFIELD4,LOCFIELD5,LOCFIELD6,LONGDEG,MAINTCYCLE,MAINTDATE,MAINTNOTE,MEDIUM,NEGLOC,NEGNO,NOTES,OBJECTID,OBJNAME,OBJNAME2,OBJNAME3,OBJNAMES,OLDNO,ORIGCOPY,OTHERNO,OUTDATE,PARENT,PEOPLE,PLACE,POLICYNO,PRINTSIZE,PROCESS,PROVENANCE,PUBNOTES,RECAS,RECDATE,RECFROM,RELNOTES,SITE,SITENO,SLIDENO,STATUS,STATUSBY,STATUSDATE,STERMS,STUDIO,SUBJECTS,TEMPAUTHOR,TEMPBY,TEMPDATE,TEMPLOC,TEMPNOTES,TEMPREASON,TEMPUNTIL,TITLE,TLOCFIELD1,TLOCFIELD2,TLOCFIELD3,TLOCFIELD4,TLOCFIELD5,TLOCFIELD6,UDF1,UDF10,UDF11,UDF12,UDF13,UDF14,UDF15,UDF16,UDF17,UDF18,UDF19,UDF2,UDF20,UDF21,UDF22,UDF3,UDF4,UDF5,UDF6,UDF7,UDF8,UDF9,UPDATED,UPDATEDBY,VALUEDATE,WEBINCLUDE
,0,,,Young bull,Rachel Twedt,2022-08-13 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Young bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC Filing Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-13 00:00:00,,,,,,2022.613,"Print, Photographic",,,,,,ph-p-613,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-13 15:09:00,Unknown,/ /,.F.
,0,,,Sir Bess Ormsby May 2nd,Rachel Twedt,2022-08-13 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Sir Bess Ormsby May 2nd,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC Filing Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-13 00:00:00,,,,,,2022.484,"Print, Photographic",,,,,,ph-p-484,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-13 15:13:00,Unknown,/ /,.F.
,0,,,Young bull,Rachel Twedt,2022-08-13 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Young bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC Filing Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-13 00:00:00,,,,,,2022.615,"Print, Photographic",,,,,,ph-p-615,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-13 15:19:00,Unknown,/ /,.F.
,0,,,Mrs. Kellogg with Hans Jensen and friend,Rachel Twedt,2022-08-13 00:00:00,,Osborne Homestead Museum Collection,/ /,,,,,,,0,0,,,Mrs. Kellogg with Hans Jensen and friend,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC Filing Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-13 00:00:00,,,,,,2022.29,"Print, Photographic",,,,,,29,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2023-04-08 15:30:00,Unknown,/ /,.F.
2022.434,0,,,King B,Rachel Twedt,2022-08-13 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,King B,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC Filing Cabinet,1,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-13 00:00:00,,,,,,2022.434,"Print, Photographic",,,,,,ph-p-434,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-18 12:26:00,Unknown,/ /,.F.
,0,,,Bull,Rachel Twedt,2022-08-13 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC Filing Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-13 00:00:00,,,,,,2022.639,"Print, Photographic",,,,,,ph-p-639,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-13 15:31:00,Unknown,/ /,.F.
,0,,,Bull,Rachel Twedt,2022-08-13 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC Filing Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-13 00:00:00,,,,,,2022.62,"Print, Photographic",,,,,,ph-p-620,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-13 15:40:00,Unknown,/ /,.F.
,0,,,Card with bull,Rachel Twedt,2022-08-13 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Card with bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC Filing Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-13 00:00:00,,,,,,2022.552,"Print, Photographic",,,,,,ph-p-552,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-13 15:45:00,Unknown,/ /,.F.
2022.687,0,,,Osborndale Quality Symbol & Hans Jensen,Matthew Bonci,2022-08-26 00:00:00,,Nichols Collection,/ /,,,,,Strohmeyer & Carpenter,,0,0,,,Photograph of Holstein bull Osbornedale Quality Symbol (SMP-VG) & herd manager Hans Jensen. pg. 18 108015.,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-26 00:00:00,,,,,,2022.687,"Print, Photographic",,,,,,ph-p 687,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,Osbornedale Quality Symbol,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-26 14:38:00,Unknown,/ /,.F.
2022.728,0,,,Back of photograph Ph-p-728,Matthew Bonci,2022-08-26 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Holstein bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-26 00:00:00,,,,,,2022.728,"Print, Photographic",,,,,,Ph-p-728,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,Photograph of Holstein bull,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-26 14:36:00,Unknown,/ /,.F.
2022.661,0,,,Holstein bull,Matthew Bonci,2022-08-26 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Holstein bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-26 00:00:00,,,,,,2022.661,"Print, Photographic",,,,,,Ph-p-661,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,Photograph of Holstein bull,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-26 14:50:00,Unknown,/ /,.F.
2022.616,0,,,Photograph of Holstein bull,Matthew Bonci,2022-08-26 00:00:00,,Nichols Collection,/ /,,,,,Strohmeyer & Carpenter,,0,0,,,Holstein Bull. 92678,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-26 00:00:00,,,,,,2022.616,"Print, Photographic",,,,,,Ph-p-616,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,Photograph of Holstein bull,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-26 15:11:00,Unknown,/ /,.F.
2022.605,0,,,Photograph of Holstein bull,Matthew Bonci,2022-08-26 00:00:00,,Nichols Collection,/ /,,,,,Strohmeyer & Carpenter,,0,0,,,Holstein bull 113434,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-26 00:00:00,,,,,,2022.605,"Print, Photographic",,,,,,Ph-p-605,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,Photograph of Holstein bull,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-26 15:18:00,Unknown,/ /,.F.
2022.445,0,,,Photograph of Holstein bull,Matthew Bonci,2022-08-26 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Holstein bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-26 00:00:00,,,,,,2022.445,"Print, Photographic",,,,,,Ph-p-445,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,Photograph of Holstein bull,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-26 15:37:00,Unknown,/ /,.F.
2022.496,0,,,Photograph of Holstein bull,Matthew Bonci,2022-08-26 00:00:00,,Nichols Collection,/ /,,,,,Strohmeyer & Carpenter,,0,0,,,Holstein bull 92677,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-26 00:00:00,,,,,,2022.496,"Print, Photographic",,,,,,Ph-p-496,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,Photograph of Holstein bull,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-26 15:53:00,Unknown,/ /,.F.
2022.66,0,,,Holstein Bull,RTwedt,2022-08-27 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-27 00:00:00,,,,,,2022.66,"Print, Photographic",,,,,,Ph-p-660,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-27 13:36:00,Unknown,/ /,.F.
2022.655,0,,,Holstein Bull,Rachel Twedt,2022-08-27 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Holstein Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-27 00:00:00,,,,,,2022.655,"Print, Photographic",,,,,,Ph-p-655,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-27 13:41:00,Unknown,/ /,.F.
2022.733,0,,,Holstein Bull,Rachel Twedt,2022-08-27 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Holstein Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-27 00:00:00,,,,,,2022.733,"Print, Photographic",,,,,,Ph-p-733,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-27 13:44:00,Unknown,/ /,.F.
2022.442,0,,,King A,Rachel Twedt,2022-08-27 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,King A,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-27 00:00:00,,,,,,2022.442,"Print, Photographic",,,,,,Ph-p-442,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-27 13:48:00,Unknown,/ /,.F.
2022.67,0,,,Holstein Bull,Rachel Twedt,2022-08-27 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Holstein Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-27 00:00:00,,,,,,2022.67,"Print, Photographic",,,,,,Ph-p-670,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-27 13:52:00,Unknown,/ /,.F.
2022.68,0,,,Holstein Bull,Rachel Twedt,2022-08-27 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Holstein Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-27 00:00:00,,,,,,2022.68,"Print, Photographic",,,,,,Ph-p-680,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-27 13:55:00,Unknown,/ /,.F.
2022.404(2),0,,,Bull Photo Stapled to Fotopak Card,Rachel Twedt,2022-08-27 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Photo of Holstein Bull Stapled to Fotopak Card,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,1,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-27 00:00:00,,,,,,2022.404(2),"Print, Photographic",,,,,,Ph-p-404(2),/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-27 14:14:00,Unknown,/ /,.F.
2022.417,0,,,Holstein Bull,Rachel Twedt,2022-08-27 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Holstein Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-27 00:00:00,,,,,,2022.417,"Print, Photographic",,,,,,Ph-p-417,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-27 14:06:00,Unknown,/ /,.F.
2022.474,0,,,Holstein Bull,Rachel Twedt,2022-08-27 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Holstein Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-27 00:00:00,,,,,,2022.474,"Print, Photographic",,,,,,Ph-p-474,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-27 14:12:00,Unknown,/ /,.F.
2022.473,0,,,Holstein Bull,Rachel Twedt,2022-08-27 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Holstein Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-27 00:00:00,,,,,,2022.473,"Print, Photographic",,,,,,Ph-p-473,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-27 14:23:00,Unknown,/ /,.F.
2022.665,0,,,Holstein Bull,Rachel Twedt,2022-08-27 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Holstein Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-27 00:00:00,,,,,,2022.665,"Print, Photographic",,,,,,Ph-p-665,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-27 14:27:00,Unknown,/ /,.F.
2022.502,0,,,Holstein Bull,Rachel Twedt,2022-08-27 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Holstein Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-27 00:00:00,,,,,,2022.502,"Print, Photographic",,,,,,Ph-p-502,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-27 14:31:00,Unknown,/ /,.F.
2022.711,0,,,Holstein Bull,Rachel Twedt,2022-08-27 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Holstein Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-27 00:00:00,,,,,,2022.711,"Print, Photographic",,,,,,Ph-p-711,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-27 14:35:00,Unknown,/ /,.F.
2022.525,0,,,Holstein Bull,Rachel Twedt,2022-08-27 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Holstein Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-27 00:00:00,,,,,,2022.525,"Print, Photographic",,,,,,Ph-p-525,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-27 14:40:00,Unknown,/ /,.F.
2022.571,0,,,Bull with Man,Rachel Twedt,2022-08-27 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Bull with Man,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-27 00:00:00,,,,,,2022.571,"Print, Photographic",,,,,,Ph-p-571,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-27 14:55:00,Unknown,/ /,.F.
2022.724,0,,,Holstein Bull(?),Rachel Twedt,2022-08-27 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Holstein Bull(?),,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-27 00:00:00,,,,,,2022.724,"Print, Photographic",,,,,,Ph-p-724,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-27 15:01:00,Unknown,/ /,.F.
2022.495,0,,,Holstein Bull,Rachel Twedt,2022-08-27 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Holstein Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-27 00:00:00,,,,,,2022.495,"Print, Photographic",,,,,,Ph-p-495,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-27 15:12:00,Unknown,/ /,.F.
2022.468,0,,,Uncle Fred and Farm Men,Rachel Twedt,2022-08-27 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Uncle Fred (Left Front) and Farm Men,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-27 00:00:00,,,,,,2022.468,"Print, Photographic",,,,,,Ph-p-468,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-27 15:20:00,Unknown,/ /,.F.
2022.503,0,,,Holstein Bull,Rachel Twedt,2022-08-27 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Holstein Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-08-27 00:00:00,,,,,,2022.503,"Print, Photographic",,,,,,Ph-p-503,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-27 15:24:00,Unknown,/ /,.F.
2022.641,0,,,photograph of holstien bull and one man,M Bonci,2022-09-09 00:00:00,,Nichols Collection,/ /,,,,,H. A. Strohmeyer Jr.,,0,0,,,Photograph of Holstein bull and one man.,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-09-09 00:00:00,,,,,,2022.641,"Print, Photographic",,,,,,Ph-p-641,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-09-30 15:39:00,Unknown,/ /,.F.
2022.617,0,,,Back of photograph Ph-p-617,M Bonci,2022-09-09 00:00:00,,Nichols Collection,/ /,,,,,Strohmeyer & Carpenter,,0,0,,,Holstein bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-09-09 00:00:00,,,,,,2022.617,"Print, Photographic",,,,,,Ph-p-617,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-11-09 13:01:00,Unknown,/ /,.F.
2022.551,0,,,Photograph of Holstein bull and one man,M Bonci,2022-09-09 00:00:00,,Nichols Collection,/ /,,,,,Strohmeyer & Carpenter,,0,0,,,Holstein bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-09-09 00:00:00,,,,,,2022.551,"Print, Photographic",,,,,,Ph-p-551,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,Photograph of Holstein bull and one man,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-09-09 11:53:00,Unknown,/ /,.F.
2022.657,0,,,Photograph of Holstein bull and one man,M Bonci,2022-09-09 00:00:00,,Nichols Collection,/ /,,,,,Strohmeyer & Carpenter,,0,0,,,Holstein bull with one man,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-09-09 00:00:00,,,,,,2022.657,"Print, Photographic",,,,,,Ph-p-657,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,Photograph of Holstein bull with one man,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-09-09 12:07:00,Unknown,/ /,.F.
2022.554,0,,,Back of photograph,M Bonci,2022-09-09 00:00:00,,Nichols Collection,/ /,,,,,Strohmeyer & Carpenter,,0,0,,,Holstein bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-09-09 00:00:00,,,,,,2022.554,"Print, Photographic",,,,,,Ph-p-554,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,Photograph of Holstein bull,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-09-09 12:18:00,Unknown,/ /,.F.
