ACCESSNO,ACQVALUE,APPNOTES,APPRAISOR,CAPTION,CATBY,CATDATE,CLASSES,COLLECTION,CONDDATE,CONDEXAM,CONDITION,CONDNOTES,COPYRIGHT,CREATOR,CREDIT,CURVALMAX,CURVALUE,DATASET,DATE,DESCRIP,DIMNOTES,DISPVALUE,EARLYDATE,EVENT,EXHIBITNO,EXHLABEL1,EXHLABEL2,EXHLABEL3,EXHLABEL4,EXHSTART,FILMSIZE,FLAGDATE,FLAGNOTES,FLAGREASON,FRAME,FRAMENO,GPARENT,HOMELOC,IMAGENO,INSCOMP,INSDATE,INSPHONE,INSPREMIUM,INSREP,INSVALUE,INVNBY,INVNDATE,LATDEG,LATEDATE,LEGAL,LOANCOND,LOANDUE,LOANINNO,LOANNO,LOCFIELD1,LOCFIELD2,LOCFIELD3,LOCFIELD4,LOCFIELD5,LOCFIELD6,LONGDEG,MAINTCYCLE,MAINTDATE,MAINTNOTE,MEDIUM,NEGLOC,NEGNO,NOTES,OBJECTID,OBJNAME,OBJNAME2,OBJNAME3,OBJNAMES,OLDNO,ORIGCOPY,OTHERNO,OUTDATE,PARENT,PEOPLE,PLACE,POLICYNO,PRINTSIZE,PROCESS,PROVENANCE,PUBNOTES,RECAS,RECDATE,RECFROM,RELNOTES,SITE,SITENO,SLIDENO,STATUS,STATUSBY,STATUSDATE,STERMS,STUDIO,SUBJECTS,TEMPAUTHOR,TEMPBY,TEMPDATE,TEMPLOC,TEMPNOTES,TEMPREASON,TEMPUNTIL,TITLE,TLOCFIELD1,TLOCFIELD2,TLOCFIELD3,TLOCFIELD4,TLOCFIELD5,TLOCFIELD6,UDF1,UDF10,UDF11,UDF12,UDF13,UDF14,UDF15,UDF16,UDF17,UDF18,UDF19,UDF2,UDF20,UDF21,UDF22,UDF3,UDF4,UDF5,UDF6,UDF7,UDF8,UDF9,UPDATED,UPDATEDBY,VALUEDATE,WEBINCLUDE
2022.727,0,,,,,2022-07-22 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Photograph of Holstein Bull,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-07-22 00:00:00,,Photo paper,,,,2022.727,"Print, Photographic",,,,,,Ph-p-727,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,Photograph of Holstein Bull,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-08-18 15:55:00,Unknown,/ /,.F.
2022.459,0,,,"Montvic Lochinvar - Fred, & Male Farm Worker",Rachel Twedt,2022-07-30 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Montvic Lochinvar - Uncle Fred (Nichols) & Prize Cow 1950s?,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-07-30 00:00:00,,,,,,2022.459,"Print, Photographic",,,,,,ph-p-459,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-07-30 14:08:00,Unknown,/ /,.F.
2022.437,0,,,Montvic Lochinvar,Rachel Twedt,2022-07-30 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Montvic Lochinvar,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-07-30 00:00:00,,,,,,2022.437,"Print, Photographic",,,,,,ph-p-437,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-07-30 14:23:00,Unknown,/ /,.F.
2022.477,0,,,Montvic Lochinvar,Rachel Twedt,2022-07-30 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Montvic Lochinvar,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-07-30 00:00:00,,,,,,2022.477,"Print, Photographic",,,,,,ph-p-477,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-07-30 14:28:00,Unknown,/ /,.F.
2022.407,0,,,Back of photo,Rachel Twedt,2022-07-30 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Sir Piebe Inka May Fayne,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-07-30 00:00:00,,,,,,2022.407,"Print, Photographic",,,,,,ph-p-407,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-07-30 14:35:00,Unknown,/ /,.F.
2022.477.11,0,,,Back of photo,Rachel Twedt,2022-07-30 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Wis Maestro,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-07-30 00:00:00,,,,,,2022.477.11,"Print, Photographic",,,,,,ph-p-477,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-07-30 14:43:00,Unknown,/ /,.F.
2022.482,0,,,Sir Oliver Ormsby King,Rachel Twedt,2022-07-30 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Sir Oliver Ormsby King,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC File Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-07-30 00:00:00,,,,,,2022.482,"Print, Photographic",,,,,,ph-p-482,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-07-30 14:51:00,Unknown,/ /,.F.
2022.679,0,,,Sir Oliver Ormsby King,Rachel Twedt,2022-07-30 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Os. Sir Oliver Ormsby King,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC Filing Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-07-30 00:00:00,,,,,,2022.679,"Print, Photographic",,,,,,ph-p-679,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-07-30 15:03:00,Unknown,/ /,.F.
2022.662,0,,,Sir Bess Ormsby,Rachel Twedt,2022-07-30 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Sir Bess Ormsby May 2nd,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC Filing Cabinet,4,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-07-30 00:00:00,,,,,,2022.662,"Print, Photographic",,,,,,ph-p-662,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-07-30 15:11:00,Unknown,/ /,.F.
2022.504,0,,,Clyde Mill Royal,Rachel Twedt,2022-07-30 00:00:00,,Nichols Collection,/ /,,,,,,,0,0,,,Clyde Mill Royal,,,0,,0,,,,,/ /,,/ / : : AM,,,,,8: Communication Artifact,KEC Filing Cabinet,2,,/ /,,,,0,,/ /,0,0,,,/ /,,0,,,,,,,0,,2022-07-30 00:00:00,,,,,,2022.504,"Print, Photographic",,,,,,ph-p-504,/ /,Documentary Artifact,,,,,,,,,,,,,,,,,/ /,,,,,,/ /,,,,,,,,,,,,,,,,0,0,0,0,0,/ /,/ /,,/ /,,,,,,,,,,2022-07-30 15:18:00,Unknown,/ /,.F.
