Removed loans ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
 #,INVENTORY #,ARTIST LAST NAME,ARTIST FIRST NAME,ARTWORK TITLE,DATE ACQUIRED,Medium ,Dimensions ,Replacement Value,Credit Line,KEEP / REMOVE
37,Aweddle_Food Chain,Weddle,Angela,Food Chain,2022,Drawing,"11"" x 14"" (16x20 frame)",1000,Courtesy the Artist,Remove- Returned 
38,Ajones_SoundTherapy ,Jones,Alethia,Sound Therapy ,2022,"burn marks, acrylic, and marker on leather",16in × 20in,3000,Courtesy the Artist,Remove- Returned 
39,Ajones_SheShinesHerLight,Jones,Alethia,She Shines Her Light,2022,"burn marks, acrylic, and marker on leather",16in × 20in,3000,Courtesy the Artist,Remove- Returned 
40,Ajones_ABlackGirl'sSoulCleanse,Jones,Alethia,A Black Girl's Soul Cleanse,2022,"burn marks, acrylic, and marker on leather",16in × 20in,3000,Courtesy the Artist,Remove- Returned 
41,L.2019.SEB.1,Carbajal,Enrique (Sebastian),Nudo Torusado,2019,Painted Steel ,72 x 62.9 x 38.5 in.,110350,Courtesy the Artist,Remove- returned 
42,L.2019.SEB.2,Carbajal,Enrique (Sebastian),Celosia Borunda,2019,Painted Steel ,96 x 61.4 x 19.6 in,109800,Courtesy the Artist,Remove- returned 
43,L.2019.SEB.3,Carbajal,Enrique (Sebastian),Cuántica Octagonal Aurea,2019,Painted Steel ,62.5 x 51.1 x 51.1 in,67550,Courtesy the Artist,Remove- returned 
44,L.2019.SEB.36,Carbajal,Enrique (Sebastian),Esfera Cuantica,2019,Painted Steel ,106.2 x 70.8 x 70.8 in.,85000,Courtesy the Artist,Remove- returned 
45,L.2019.SEB.37,Carbajal,Enrique (Sebastian),Esfera Cuantica Punto Cero,2019,Painted Steel ,106.2 x 70.8 x 70.8 in.,85000,Courtesy the Artist,Remove- returned 
46,L.2019.SEB.4,Carbajal,Enrique (Sebastian),Pocycereus,2019,Painted Steel ,114.9 x 28.3 x 51 in.,130000,Courtesy the Artist,Remove- returned 
47,L.2019.SEB.5,Carbajal,Enrique (Sebastian),Lipchitziana,2019,Painted Steel ,96 x 48 x 28 in.,108000,Courtesy the Artist,Remove- returned 
,,,,,,,Total Value,1332400,,
,,,,,,,Total Pieces,47,,
